anio	mes	tipo_centro	subtipo_centro	centro	categoria	cuartos_disponibles	cuartos_ocupados_no_residentes	cuartos_ocupados_residentes	llegada_turistas_no_residentes	llegada_turistas_residentes	turistas_noche_no_residentes	turistas_noche_residentes
2016	01	Centros de Playa	Integralmente Planeados	Ixtapa - Zihuatanejo	3 estrellas	10819	5333	2421	3888	2023	10116	5175
2016	01	Centros de Playa	Integralmente Planeados	Ixtapa - Zihuatanejo	4 estrellas	45090	8114	29303	3941	21399	15301	63565
2016	01	Centros de Playa	Integralmente Planeados	Ixtapa - Zihuatanejo	5 estrellas	105015	32190	47030	12240	44790	64356	109299
2016	01	Centros de Playa	Integralmente Planeados	Bahías de Huatulco	2 estrellas	5549	0	2571	0	4816	0	6320
2016	01	Centros de Playa	Integralmente Planeados	Bahías de Huatulco	3 estrellas	12896	0	4360	0	8560	0	11464
2016	01	Centros de Playa	Integralmente Planeados	Bahías de Huatulco	4 estrellas	31558	8721	15803	1740	11432	17381	35019
2016	01	Centros de Playa	Integralmente Planeados	Bahías de Huatulco	5 estrellas	63147	35379	19475	6495	8823	73091	42849
2016	01	Centros de Playa	Integralmente Planeados	Cancún	1 estrella	12059	58	1081	115	1527	115	2219
2016	01	Centros de Playa	Integralmente Planeados	Cancún	2 estrellas	15128	1957	8233	1231	5676	3984	16089
2016	01	Centros de Playa	Integralmente Planeados	Cancún	3 estrellas	88582	34985	37325	22472	26233	91119	87063
2016	01	Centros de Playa	Integralmente Planeados	Cancún	4 estrellas	133321	58374	53037	53571	70870	157555	171456
2016	01	Centros de Playa	Integralmente Planeados	Cancún	5 estrellas	734023	511766	67179	436063	54538	1610424	190903
2016	01	Centros de Playa	Integralmente Planeados	Loreto	1 estrella	4309	0	1485	0	2963	0	2963
2016	01	Centros de Playa	Integralmente Planeados	Loreto	3 estrellas	4340	1030	455	949	543	1754	701
2016	01	Centros de Playa	Integralmente Planeados	Loreto	4 estrellas	5611	927	292	1318	250	1927	528
2016	01	Centros de Playa	Integralmente Planeados	Loreto	5 estrellas	12980	1875	154	617	83	3793	354
2016	01	Centros de Playa	Integralmente Planeados	Los Cabos	1 estrella	11625	1333	3333	1635	2646	2531	7833
2016	01	Centros de Playa	Integralmente Planeados	Los Cabos	2 estrellas	3937	575	532	466	363	962	829
2016	01	Centros de Playa	Integralmente Planeados	Los Cabos	3 estrellas	22630	7604	5609	3731	4288	15154	10350
2016	01	Centros de Playa	Integralmente Planeados	Los Cabos	4 estrellas	57815	19971	11781	7137	5466	40506	23649
2016	01	Centros de Playa	Integralmente Planeados	Los Cabos	5 estrellas	322701	222191	14724	93914	7820	504418	32425
2016	01	Centros de Playa	Otros	Isla Mujeres	1 estrella	4774	2587	1558	4848	3006	5039	3203
2016	01	Centros de Playa	Otros	Isla Mujeres	2 estrellas	6138	1594	917	3001	1777	3090	1891
2016	01	Centros de Playa	Otros	Isla Mujeres	3 estrellas	5270	2166	1267	4184	2424	4338	2594
2016	01	Centros de Playa	Otros	Isla Mujeres	4 estrellas	8680	4463	2643	8418	5119	8715	5425
2016	01	Centros de Playa	Otros	Isla Mujeres	5 estrellas	11346	3921	2360	7424	4553	7677	4829
2016	01	Centros de Playa	Otros	Nuevo Nayarit	3 estrellas	1550	0	955	0	2540	0	2540
2016	01	Centros de Playa	Otros	Nuevo Nayarit	4 estrellas	23219	17056	4932	4365	4727	35422	14912
2016	01	Centros de Playa	Otros	Nuevo Nayarit	5 estrellas	240746	161908	41925	60402	26107	359131	104981
